"dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration bp","num_all_rb bp","rb_full_rate bp","rb_full_int bp","first_rb bp","last_rb bp","rb_period bp","rate_adj_rb bp","low_rb bp","low_rb_rate bp","num_br bp","rate_br bp","num_gul bp","rate_gul bp","num_ch bp","rate_ch bp","dur_exh_tot bp","exh_pct bp","num_exh bp","exh_avg bp","soh bp","toh bp","hbn bp","lbn bp","num trials"
1,"barkeri","Boccia 267M","Tuxtlas","dunk","yes",15.6,92,"M","sustained",304.062,20,0.065776058830107,12.6706315789474,33.236,273.978,240.742,0.0830764885229831,0,0,1,0.00328880294150535,16,0.0526208470640856,0,NA,107.544,0.353691023541251,18,5.97466666666667,20,0,0,0,3
1,"maculigula","Boccia 268","Tatama","dunk","no",13,87,"F","sustained",44.848,17,0.379058151980021,2.39525,27.314,65.638,38.324,0.443586264481787,0,0,2,0.0445950767035319,5,0.11148769175883,0,0,33.01,0.736041740991794,17,1.94176470588235,0,17,0,0,2
2,"barkeri","Boccia 268M","Tuxtlas","dunk","yes",17,99,"M","sustained",245.22,18,0.0734034744311231,68.693,411.551,399.5,12.051,1.49365197908887,4,0.0163118832069162,10,0.0407797080172906,18,0.0734034744311231,0,0,43.1820000000003,0.176094935160266,32,1.34943750000001,17,0,1,4,6
3,"barkeri","Boccia 269M","Tuxtlas","dunk","yes",7.4,70,"F","incidental",356.481,2,0.00561039718806893,29.029,394.994,424.023,29.029,0.0688966206207586,0,0,11,0.0308571845343791,2,0.00561039718806893,0,0,344.357,0.965989772245926,9,38.2618888888889,2,0,0,0,5
1,"barkeri","Boccia 270M","Tuxtlas","dunk","yes",6.3,69,"F","sustained",190.264,22,0.115628810494891,6.91557142857143,169.933,315.16,145.227,0.151486982448167,0,0,2,0.0105117100449901,16,0.084093680359921,0,0,74.7610000000001,0.392932977336753,19,3.93478947368421,22,0,0,0,4
1,"maculigula","Boccia 271","Tatama","dunk","yes",5.4,63,"F","incidental",139.469,1,0.00717005212627896,NA,133.695,NA,NA,NA,0,0,4,0.0286802085051158,1,0.00717005212627896,0,0,130.707,0.937176003269544,6,21.7845,0,1,0,0,1
2,"barkeri","Boccia 271M","Tuxtlas","dunk","yes",16.3,94,"M","sustained",113.794,24,0.210907429214194,4.37865217391304,242.577,343.286,100.709,0.238310379409983,0,0,6,0.0527268573035485,10,0.0878780955059142,0,0,15.4919999999999,0.136140745557761,26,0.59584615384615,24,0,0,0,5
1,"barkeri","Boccia 272M","Tuxtlas","dunk","yes",13.8,88,"M","sustained",210.108,28,0.133264797151941,7.44755555555556,37.99,239.074,201.084,0.139245290525353,0,0,6,0.0285567422468445,27,0.1285053401108,0,NA,37.8840000000001,0.180307270546576,28,1.353,28,0,0,0,2
1,"maculigula","Boccia 273","Tatama","voluntary","yes",39.2,117,"M","no",274.246,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,2
1,"barkeri","Boccia 273M","Tuxtlas","dunk","yes",15.2,102,"M","sustained",408.888,31,0.0758153822073526,13.4295,30.901,433.786,402.885,0.0769450339426884,2,0.00489131498111952,8,0.0195652599244781,0,0,0,NA,380.523,0.930628925280272,7,54.3604285714286,30,0,1,2,3
1,"maculigula","Boccia 274","Tatama","dunk","yes",16.8,87,"F","sustained",138.802,6,0.0432270428379995,6.817,213.761,247.846,34.085,0.176030511955406,0,0,1,0.00720450713966658,12,0.0864540856759989,1,0.00720450713966658,32.183,0.231862653275889,2,16.0915,0,6,0,0,2
1,"barkeri","Boccia 274M","Tuxtlas","dunk","yes",15,90,"M","incidental",87.128,2,0.0229547332659994,42.182,43.578,85.76,42.182,0.0474135887345313,0,0,5,0.0573868331649986,0,0,0,0,30.701,0.352366632999724,5,6.1402,2,0,0,0,6
